"category","source","name","cause","death"
"actors","http://www.wikidata.org/entity/Q9142303","Agnieszka Kotlarska",,"2015-03-10T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4693567","Agop Jack Hacikyan",,"2015-07-03T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q123216","Agota Kristof",,"2011-07-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q16161694","Agustí Vehí i Castelló",,"2013-01-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q19997655","Agustí Vilà i Galí",,"2015-03-09T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q18609161","Agustín Briolini","electrocution","2014-11-23T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q5686536","Agustín Delgado",,"2012-09-11T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3328083","Agustín Fernández Paz",,"2016-07-12T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q130746","Agustín García Calvo",,"2012-11-01T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q400046","Aharon Ipalé",,"2016-06-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q400059","Aharon Megged",,"2016-03-23T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4695220","Ahmad A'zam",,"2014-01-04T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12178604","Ahmad Al-Saleh",,"2015-04-11T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q12178934","Ahmad Bahgat",,"2011-12-11T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q2827520","Ahmed Bouanani",,"2011-02-06T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q2827571","Ahmed Hamza",,"2011-03-15T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4115204","Ahmed Ramzy",,"2012-09-28T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2827647","Ahmed Rateb",,"2016-12-14T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2827665","Ahmed Snoussi",,"2015-11-20T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12178619","Ahmed Taïeb El Alj",,"2012-12-01T00:00:00Z"
